Airline,Source,Destination,Duration,Total_Stops,Journey_Day,Journey_Month,Dep_Hour,Dep_Min,Arrival_Hour,Arrival_Min,Journey_Date,Is_Peak_Hour,Price
IndiGo,Banglore,New Delhi,170,0,24,3,22,20,1,10,24-03-2019,0,3897
Air India,Kolkata,Banglore,445,2,1,5,5,50,13,15,01-05-2019,0,7662
Jet Airways,Delhi,Cochin,1140,2,9,6,9,25,4,25,09-06-2019,1,13882
IndiGo,Kolkata,Banglore,325,1,12,5,18,5,23,30,12-05-2019,1,6218
IndiGo,Banglore,New Delhi,285,1,1,3,16,50,21,35,01-03-2019,1,13302
SpiceJet,Kolkata,Banglore,145,0,24,6,9,0,11,25,24-06-2019,1,3873
Jet Airways,Banglore,New Delhi,930,1,12,3,18,55,10,25,12-03-2019,1,11087
Jet Airways,Banglore,New Delhi,1265,1,1,3,8,0,5,5,01-03-2019,0,22270
Jet Airways,Banglore,New Delhi,1530,1,12,3,8,55,10,25,12-03-2019,0,11087
Multiple carriers,Delhi,Cochin,470,1,27,5,11,25,19,15,27-05-2019,1,8625
Air India,Delhi,Cochin,795,1,1,6,9,45,23,0,01-06-2019,1,8907
IndiGo,Kolkata,Banglore,155,0,18,4,20,20,22,55,18-04-2019,1,4174
Air India,Chennai,Kolkata,135,0,24,6,11,40,13,55,24-06-2019,1,4667
Jet Airways,Kolkata,Banglore,730,1,9,5,21,10,9,20,09-05-2019,1,9663
IndiGo,Kolkata,Banglore,155,0,24,4,17,15,19,50,24-04-2019,1,4804
Air India,Delhi,Cochin,1595,2,3,3,16,40,19,15,03-03-2019,1,14011
SpiceJet,Delhi,Cochin,270,1,15,4,8,45,13,15,15-04-2019,0,5830
Jet Airways,Delhi,Cochin,1355,1,12,6,14,0,12,35,12-06-2019,1,10262
Air India,Delhi,Cochin,1380,2,12,6,20,15,19,15,12-06-2019,1,13381
Jet Airways,Delhi,Cochin,1235,1,27,5,16,0,12,35,27-05-2019,1,12898
GoAir,Delhi,Cochin,310,1,6,3,14,10,19,20,06-03-2019,1,19495
Air India,Banglore,New Delhi,920,1,21,3,22,0,13,20,21-03-2019,0,6955
IndiGo,Banglore,Delhi,170,0,3,4,4,0,6,50,03-04-2019,0,3943
IndiGo,Banglore,Delhi,175,0,1,5,18,55,21,50,01-05-2019,1,4823
Jet Airways,Kolkata,Banglore,800,1,6,5,18,55,8,15,06-05-2019,1,7757
Jet Airways,Delhi,Cochin,910,2,9,6,21,25,12,35,09-06-2019,1,13292
IndiGo,Delhi,Cochin,345,1,1,6,21,50,3,35,01-06-2019,1,8238
GoAir,Delhi,Cochin,355,1,15,5,7,0,12,55,15-05-2019,0,7682
Vistara,Banglore,Delhi,170,0,18,6,9,45,12,35,18-06-2019,1,4668
Vistara,Chennai,Kolkata,135,0,15,6,7,5,9,20,15-06-2019,0,3687
